subject,part,score,reduction,outcome
staff_06,toiletseat,1,,0
staff_06,showerhead,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,tap,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,showerhead,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,overhead_table,1,,0
staff_06,dispencer,1,,0
staff_06,handrail,1,,0
staff_06,chair,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,bedrail,1,,0
staff_06,bedboard,1,-0.714285714285714,0
staff_06,handrail,1,,0
staff_06,toilet_seat_switch,1,,0
staff_06,toiletseat,1,,0
staff_06,showerhead,1,,0
staff_06,bedrail,1,,0
staff_06,callbotton,1,,0
staff_06,tap,1,,0
staff_06,UBlight_sw,1,,0
staff_06,doorhandle,1,,0
staff_06,toilet_seat_switch,1,,0
staff_06,toiletseat,1,,0
staff_06,showerhead,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,tap,1,,0
staff_06,chair,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,toilet_seat_switch,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,UBhandrail,1,,0
staff_06,chair,1,,1
staff_06,toiletseat,1,,1
staff_06,toiletseat,1,,1
staff_06,toiletseat,1,,1
staff_06,bedrail,1,0.8,0
staff_06,bedrail,1,-1.4,0
staff_06,bedrail,1,-5.5,0
staff_06,bedrail,1,,0
staff_06,toilet_seat_switch,1,,0
staff_06,toiletseat,1,0.685714285714286,0
staff_06,toiletseat,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,overhead_table,1,,0
staff_06,callbotton,1,,0
staff_06,doorhandle,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,toiletseat,1,,0
staff_06,UBhandrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedrail,1,,0
staff_06,bedboard,1,,0
staff_06,overhead_table,1,,0
staff_06,bedside_table,1,,0
staff_06,tap,1,0.820512820512821,0
staff_06,UBlight_sw,1,,0
staff_06,toilet_seat_switch,1,,0
staff_06,toiletseat,1,,0
staff_06,showerhead,1,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedboard,0,1,0
staff_07,overhead_table,0,,0
staff_07,bedside_table,0,1,0
staff_07,UBlight_sw,0,1,0
staff_07,doorhandle,0,,0
staff_07,UBhandrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedboard,0,,0
staff_07,overhead_table,0,,0
staff_07,callbotton,0,,0
staff_07,dispencer,0,,0
staff_07,UBlight_sw,0,1,0
staff_07,closette,0,,0
staff_07,toiletseat,0,,0
staff_07,showerhead,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedboard,0,,0
staff_07,overhead_table,0,,0
staff_07,callbotton,0,,0
staff_07,tap,0,-0.625,0
staff_07,UBlight_sw,0,,0
staff_07,chair,0,1,0
staff_07,showerhead,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
staff_07,overhead_table,0,,0
staff_07,callbotton,0,,0
staff_07,dispencer,0,,0
staff_07,UBlight_sw,0,,0
staff_07,chair,0,,0
staff_07,UBhandrail,0,,0
staff_07,bedrail,0,,0
staff_07,bedrail,0,,0
